Filing_Date,Buyer,Seller,Contract_Type,Base_Contract_Date,Transaction_Conf_Agreement_Date,Supply_Period_Value,Supply_Period_Unit,Supply_Period_Notes,Annual_Contract_Quantity_MMBtu_Numeric,Annual_Contract_Quantity_Notes,Take_or_Pay,LNG_Project,DOE_FE_Docket_Nos,DOE_FE_Order_Nos,Notes
2017-09-18,ENGIE S.A.,"ENGIE Energy Marketing NA, Inc.",NAESB Base + Asset Management Agmt + TC,N/A,2017-08-18,,,"Ends Sep 30, 2020 (or per COD). Delivery Period Mar 1, 2018 - Sep 30, 2020",68259000,Varies: 183K to 525K MMBtu/day. 2019: 68.26M; 2020: 134M. Using 2019 value for numeric.,Buyer pays for demand; Seller pays actual transport.,Cameron LNG,"11-162-LNG, 11-145-LNG","3391-A, 3391-B, 3059",
2022-01-06,"Sabine Pass Liquefaction, LLC (""SPL"")","EAP Ohio, LLC",Gas Supply Agreement (NAESB + TC #521988),2019-03-12,2021-12-16,3,years,,64000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",One of two filed this day for EAP Ohio.
2022-01-06,"Sabine Pass Liquefaction, LLC (""SPL"")","EAP Ohio, LLC",Gas Supply Agreement (NAESB + TC #521989),2019-03-12,2021-12-16,3,years,,64000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",One of two filed this day for EAP Ohio.
2024-10-30,JERA Energy America LLC,Enterprise Products Operating LLC,Firm Gas Supply Agreement (NAESB + TC),2017-10-01,2024-10-24,5,years,TC Trade date; Term starts later of 2025-04-01 or CSD,55302975,"151,515 MMBtu/Day",No,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, 3282-C, 3357-B, 3066-A, 3957",CSD = Commercial Start Date of Buyer's FT on Enterprise Texas Pipeline.
2025-02-20,"Venture Global Plaquemines LNG, LLC","Southwest Energy, L.P.",NAESB Base + TC + Asset Management Agreement,,2025-01-23,41,months,TC date; Subject to CPs,54750000,"150K MMBtu/d (5mo), then 73M MMBtu/yr (3yr). Using annualized 150K for numeric.",N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
2024-12-19,"Venture Global Plaquemines LNG, LLC",Six One Commodities LLC,NAESB Base Contract + Asset Management Agreement,,2024-11-22,3,years,AMA date,54750000,"Up to 54,750,000 (150,000 MMBtu/day via short-term TCs)",N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Plaquemines LNG releases pipeline capacity to Six One. Six One sells gas to Plaquemines. Base contract previously executed.
2024-06-28,"Venture Global Plaquemines LNG, LLC","Southwest Energy, L.P.",NAESB Base Contract + TC,,2024-05-31,41,months,,54750000,"Prorated for initial 5-month period, then 73,000,000 for each of the following three years. Using initial period annualized for numeric.",N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
2023-09-27,"Freeport LNG Marketing, LLC","NextEra Energy Marketing, LLC",Gas Supply Agreement (NAESB + TC),2021-09-13,2023-08-18,31,months,TC Term begins 2023-09-01,54750000,"0 to 150,000 MMBtu/Day (annualized max)",Buyer nominates,Freeport LNG,"10-160-LNG, ..., 12-06-LNG","2913, 3066, 3282-C, 3357-B, 3957",
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")",Apache Corporation,Gas Sales Agreement (NAESB + TC),2016-12-07,2017-11-06,7,years,,54750000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",Revised Public Summary (for one of two Apache TCs dated 2017-11-06).
2019-10-09,"Corpus Christi Liquefaction, LLC (""CCL"")","EOG Resources, Inc.",Gas Sales Agreement,N/A,2019-09-12,7,years,Up to,51100000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",One of two GSAs filed this day with EOG for CCL. This one for existing CCL.
2019-10-09,"Corpus Christi Liquefaction Stage III, LLC","EOG Resources, Inc.",Gas Sales Agreement (2x),N/A,2019-09-12,10,years,,51100000,"GSA1: Approx. 51,100,000; GSA2: Approx. 109,500,000",Standard Yes,CCL Stage III,18-78-LNG,4277,Two separate GSAs. Later amended and restated (see 2022-03-11 filing).
2019-09-17,"Corpus Christi Liquefaction Stage III, LLC",Apache Corporation,Gas Sales Agreement,N/A,2019-05-29,15,years,Approx.,51100000,Approx.,Standard Yes,CCL Stage III,18-78-LNG,4277,Revised Public Summary.
2024-11-13,"Sabine Pass Liquefaction Stage V, LLC & SPL",ARC Resources U.S. Corp.,Gas Supply Agreement,N/A,2023-09-27,15,years,,50000000,Approx.,Standard Yes,Sabine Pass (Stage V),24-27-LNG,5181,
2022-07-14,"Corpus Christi Liquefaction, LLC (""CCL"")",ARC Resources U.S. Corp.,Gas Supply Agreement,N/A,2022-05-02,15,years,,50000000,Approx.,Standard Yes,Corpus Christi (incl. Stage III),"12-97-LNG, 12-99-LNG, 19-124-LNG, 18-78-LNG","3164, 3638, 4519, 4799, 4277, 4490",For CCL as successor to CCL Stage III.
2022-11-30,"Sabine Pass Liquefaction, LLC (""SPL"")",Tourmaline Oil Marketing Corp.,Gas Supply Agmt (assigned from CCL Stage III),N/A,2022-03-15,15,years,,50000000,Approx. Orig GSA 2021-07-15,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG & 18-78-LNG (via assignment)","2833, ..., 4520, 4800 & 4277, 4490 (via assignment)",Assignment of CCL Stage III's GSA with Tourmaline to SPL. Assignment Agmt date: 2022-03-15.
2021-07-29,"Corpus Christi Liquefaction Stage III, LLC",Tourmaline Oil Marketing Corp.,Gas Supply Agreement,N/A,2021-07-15,15,years,,50000000,Approx.,Standard Yes,CCL Stage III,18-78-LNG,"4277, 4490","Later assigned to Sabine Pass Liquefaction, LLC (see 2022-11-30 filing)."
2019-09-16,"Corpus Christi Liquefaction, LLC (""CCL"")",Vine Oil & Gas LP,Gas Sales Agreement (NAESB + TC),2018-10-29,2019-08-07,3,years,,46000000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",
2022-11-02,"Corpus Christi Liquefaction, LLC (""CCL"")",Scona LLC,Gas Supply Agreement,N/A,2022-10-17,5,years,,44000000,"Approx. 44M (yr1), 110M (yrs 2-5)",Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG, 18-78-LNG","3164, 3638, 4519, 4799, 4277, 4490",Relates to existing CCL and CCL Stage III.
2023-10-30,"Sabine Pass Liquefaction, LLC (""SPL"")","Chesapeake Energy Marketing, LLC",Gas Supply Agreement (NAESB + TC),2013-11-01,2023-10-13,3,years,,40000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2022-11-02,"Sabine Pass Liquefaction, LLC (""SPL"")",Scona LLC,Gas Supply Agreement,N/A,2022-10-17,2.5,years,Approx.,37000000,"Approx. 37M (yr1), 73M (remaining yrs)",Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2021-08-23,"Sabine Pass Liquefaction, LLC (""SPL"")","Kaiser Marketing Appalachian, LLC",Gas Supply Agreement (NAESB + TC),2015-07-31,2021-08-09,3,years,,37000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2024-11-12,"Venture Global Plaquemines LNG, LLC","Mercuria Energy America, LLC",NAESB Base Contract + TC (Contract #2),,2024-10-09,4,years,,36500000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",One of two TCs with Mercuria filed this day. Base contract previously executed.
2024-09-03,"Freeport LNG Marketing, LLC",Kinder Morgan Tejas Pipeline LLC & Kinder Morgan Texas Pipeline LLC,Gas Supply Agreement (NAESB + TC),2018-12-01,2024-08-22,5,years,TC Term exp. on/before 2026-04-01; +3yr ext. option,36500000,"0 to 100,000 MMBtu/Day (annualized max)",Buyer nominates,Freeport LNG,"10-160-LNG, ..., 12-06-LNG","2913, 3066, 3282-C, 3357-B, 3957",
2024-07-08,"Venture Global Plaquemines LNG, LLC",TC Energy Marketing Inc.,NAESB Base Contract + TC,,2024-06-11,2,years,,36500000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
2023-01-17,"Venture Global Calcasieu Pass, LLC","Paloma Natural Gas, LLC",NAESB Base Contract + TC,,2022-12-26,3,years,From later of 2024-04-01 or In-Service Date,36500000,Period 1 (1yr): 36.5M; P2 (1yr): 27.375M; P3 (1yr): 9.125M. Using P1.,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",In-Service Date related to new LA intrastate pipeline. Base contract date not specified.
2021-01-13,"Venture Global Calcasieu Pass, LLC",Spire Marketing Inc.,NAESB Base Contract + TC,2020-09-22,2020-10-27,38,months,Base eff. 2020-12-14; TC eff. 2020-12-14,36500000,Daily figure in summary likely typo for annual.,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",Dates reflect when SPI executed; Calcasieu Pass executed 2020-12-14.
2019-09-09,"Sabine Pass Liquefaction, LLC (""SPL"")",Indigo Minerals LLC,NAESB Base Contract + TC A & TC B,2017-03-01,2019-08-08,,years,TCA: 10 yrs (TC: 2019-08-08); TCB: ~3.75 yrs (TC: 2019-08-27),36500000,TCA: ~36.5M; TCB: ~18.25M,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Later assigned to SWN Energy Services.
2019-09-16,"Corpus Christi Liquefaction, LLC (""CCL"")",Targa Gas Marketing LLC,Gas Sales Agreement (NAESB + TC),2016-05-01,2018-06-21,10,years,Approx.,36500000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",One of two contracts filed this day (Pioneer & Targa).
2019-09-16,"Sabine Pass Liquefaction, LLC (""SPL"")",Antero Resources Corporation,Gas Sales Agreement (NAESB + TC),2014-02-01,2018-05-29,5,years,,36500000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",One of two contracts filed this day (Antero & EQT). Later assigned to MU Marketing LLC.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Pioneer Natural Resources USA, Inc.",Gas Sales Agreement (NAESB + TC),2015-06-01,2017-11-10,5,years,,36500000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary (for TC#1).
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Houston Pipe Line Company, LP",Gas Sales Agreement (NAESB + TC),2015-04-01,2017-10-11,3,years,,36500000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Wells Fargo Commodities, LLC",Gas Sales Agreement (NAESB + TC),2017-03-27,2017-05-30,3,years,,36500000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2023-02-01,"Sabine Pass Liquefaction, LLC (""SPL"")","Paloma Natural Gas, LLC",Gas Supply Agreement,N/A,2023-01-19,4,years,Approx.,36000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2024-10-24,"Sabine Pass Liquefaction, LLC (""SPL"")","Southwest Energy, L.P.",Gas Supply Agreement (NAESB + TC),2015-09-30,2024-10-10,3,years,,27500000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Shell Energy North America (US), L.P.",Gas Sales Agreement (NAESB + TC),2017-05-18,2017-07-12,3,years,,27375000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")",Cimarex Energy Co.,Gas Sales Agreement (NAESB + TC),2015-06-01,2017-04-18,5,years,,27375000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2019-09-16,"Sabine Pass Liquefaction, LLC (""SPL"")","EQT Energy, LLC",Gas Sales Agreement (NAESB + TC),2013-12-01,2018-06-21,3,years,Approx.,26462500,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",One of two contracts filed this day (Antero & EQT).
2022-03-22,"Venture Global Plaquemines LNG, LLC","NextEra Energy Marketing, LLC",NAESB Base Contract + TC,,2022-02-23,3,years,,21900000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract date not specified.
2022-12-07,"Sabine Pass Liquefaction, LLC (""SPL"")","EOG Resources, Inc.",Gas Supply Agreement (NAESB + TC),2015-01-01,2022-11-17,3,years,Approx.,20000000,"Approx. 20M (yr1), 40M (yr2&3)",Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2024-10-10,"Corpus Christi Liquefaction, LLC (""CCL"")",Targa Gas Marketing LLC,Gas Supply Agreement (NAESB + TC),2016-05-01,2024-09-24,5,years,,18500000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, ..., 18-78-LNG, 23-46-LNG","3164, ..., 4490, 5019",
2025-01-03,"Venture Global Plaquemines LNG, LLC",CNX Gas Company LLC,NAESB Base + TC + Asset Management Agreement,,2024-12-09,5,years,TC & AMA date; Seller right to extend,18250000,"50,000 MMBtu/day",N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Plaquemines releases capacity to CNX. CNX sells gas to Plaquemines. Base contract previously executed.
2023-10-02,"LNG Americas, Inc.","Wells Fargo Commodities, LLC",Gas Supply Agreement (NAESB + TC + SP),2023-07-25,2023-09-20,36,months,Nov 2023 - Oct 2026,18250000,"50,000 MMBtu/Day",Firm,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, 3282-C, 3357-B, 3066-A, 3957",
2023-06-29,"LNG Americas, Inc.",Morgan Stanley Capital Group Inc.,Gas Supply Agreement (NAESB + TC + SP),2023-03-07,2023-06-14,28,months,Jul 2023 - Oct 2025,18250000,"50,000 MMBtu/Day",Firm,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, 3282-C, 3357-B, 3066-A, 3957",
2022-02-14,"Venture Global Plaquemines LNG, LLC",Repsol Energy North America Corporation,NAESB Base Contract + TC,,2022-01-21,3,years,,18250000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract date not specified.
2021-10-19,"Venture Global Calcasieu Pass, LLC",ConocoPhillips Company,NAESB Base Contract + TC,,2021-09-29,3,years,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of four filed this day. Base contract date not specified.
2021-10-19,"Venture Global Calcasieu Pass, LLC",Tenaska Marketing Ventures,NAESB Base Contract + TC,,2021-09-23,3,years,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of four filed this day. Base contract date not specified.
2021-10-19,"Venture Global Calcasieu Pass, LLC","Engie Energy Marketing NA, Inc.",NAESB Base Contract + TC,,2021-09-20,38,months,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of four filed this day. Base contract date not specified.
2021-08-09,"Venture Global Calcasieu Pass, LLC","GEP Haynesville, LLC",NAESB Base Contract + TC,,2021-07-30,3,years,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of three contracts in this filing. Base contract date not specified.
2021-07-30,"Venture Global Calcasieu Pass, LLC",BP Energy Company,NAESB Base Contract + TC,,2021-07-21,3,years,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",Base contract date not specified in summary.
2021-08-09,"Venture Global Calcasieu Pass, LLC","Direct Energy Business Marketing, LLC",NAESB Base Contract + TC,,2021-06-07,3,years,,18250000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of three contracts in this filing. Base contract date not specified.
2021-05-21,"Sabine Pass Liquefaction, LLC (""SPL"")",Tenaska Marketing Ventures,Gas Supply Agreement (NAESB + TC),2014-04-01,2021-05-07,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-05-04,"Sabine Pass Liquefaction, LLC (""SPL"")",Castleton Commodities Merchant Trading L.P.,Gas Supply Agreement (NAESB + TC),2014-04-28,2021-04-23,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 19-125-LNG","2833, 2961-A, ..., 4520",
2021-05-04,"Corpus Christi Liquefaction, LLC (""CCL"")",Castleton Commodities Merchant Trading L.P.,Gas Supply Agreement (NAESB + TC),2015-09-30,2021-04-23,3,years,,18250000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG","3164, 3638, 4519",
2021-05-04,"Sabine Pass Liquefaction, LLC (""SPL"")","Wells Fargo Commodities, LLC",Gas Supply Agreement (NAESB + TC),2016-04-14,2021-04-21,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-05-04,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC (f/k/a Southwestern Energy Services Company)",Gas Supply Agreement (NAESB + TC),2013-11-01,2021-04-20,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-01-08,"Sabine Pass Liquefaction, LLC (""SPL"")",Macquarie Energy LLC,Gas Supply Agreement (NAESB + TC),2014-06-05,2021-01-05,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-01-08,"Sabine Pass Liquefaction, LLC (""SPL"")","NextEra Energy Marketing, LLC (f/k/a NextEra Energy Power Marketing, LLC)",Gas Supply Agreement (NAESB + TC),2014-11-18,2021-01-05,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-01-13,"Venture Global Calcasieu Pass, LLC",Tenaska Marketing Ventures,NAESB Base Contract + TC,2020-10-07,2020-11-20,3,years,Base eff. 2021-01-05; TC eff. 2021-01-05,18250000,Daily figure in summary likely typo for annual.,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",Dates reflect when Tenaska executed; Calcasieu Pass executed 2021-01-05.
2019-09-16,"Corpus Christi Liquefaction, LLC (""CCL"")","Pioneer Natural Resources USA, Inc.",Gas Sales Agreement (NAESB + TC),2015-06-01,2018-05-22,5,years,,18250000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",One of two contracts filed this day (Pioneer & Targa). This TC is likely Confirmation #2.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")",Targa Gas Marketing LLC,Gas Sales Agreement (NAESB + TC),2016-05-01,2017-10-23,5,years,,18250000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2019-09-17,"Sabine Pass Liquefaction, LLC (""SPL"")",Montage Resources Corporation,Gas Sales Agreement (NAESB + TC),2014-05-01,2017-05-24,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",Revised Public Summary. Montage is successor to Eclipse Resources Marketing LP. This contract later assigned to SWN Energy Services (see 2020-12-03 filing)
2019-09-17,"Sabine Pass Liquefaction, LLC (""SPL"")",BP Energy Company,Gas Sales Agreement (NAESB + TC),2014-11-01,2017-05-24,3,years,,18250000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",Revised Public Summary (for TC1).
2025-03-21,"Sabine Pass Liquefaction, LLC (""SPL"")",Expand Energy Marketing LLC (f/k/a SWN Energy Services),Gas Supply Agreement (NAESB + TC),2013-11-01,2025-03-06,3,years,Base contract amended,18000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2023-04-11,"Corpus Christi Liquefaction, LLC (""CCL"")","Engie Energy Marketing NA, Inc.",Gas Supply Agreement (NAESB + TC),2018-03-08,2023-03-22,29,months,,18000000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG, 18-78-LNG","3164, 3638, 4519, 4799, 4277, 4490",
2022-04-28,"Sabine Pass Liquefaction, LLC (""SPL"")","Shell Energy North America (US), L.P.",Gas Supply Agreement (NAESB + TC),2015-05-01,2022-04-07,3,years,,18000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",One of two filed this day for Shell.
2022-04-28,"Sabine Pass Liquefaction, LLC (""SPL"")","Shell Energy North America (US), L.P.",Gas Supply Agreement (NAESB + TC),2015-05-01,2022-04-06,3,years,,18000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",One of two filed this day for Shell.
2021-08-02,"Sabine Pass Liquefaction, LLC (""SPL"")","Flywheel Energy Marketing, LLC",Gas Supply Agreement (NAESB + TC),2019-03-12,2021-07-15,3,years,,18000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2020-01-20,"Sabine Pass Liquefaction, LLC (""SPL"")","GEP Haynesville, LLC",Gas Supply Agreement,N/A,2020-01-13,5,years,,18000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Later assigned to SWN Energy Services (see 2022-02-17 filing).
2019-11-01,"Corpus Christi Liquefaction, LLC (""CCL"")",ConocoPhillips Company,Gas Supply Agreement (NAESB + TC),2015-06-01,2019-10-23,2.25,years,,16425000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",
2019-09-17,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC",Gas Sales Agreement (NAESB + TC),2013-11-01,2014-06-08,3,years,,15512500,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, 13-30-LNG, 13-42-LNG, 13-121-LNG, 14-92-LNG, 15-63-LNG","2833, 2961-A, 3306, 3307, 3384, 3595, 3669, 3792, 3306-A, 3307-A, 3384-A & 3669-B","Revised Public Summary. Original TC Date use 8, 2014 is a typo in summary, likely June 8, 2014."
2024-11-12,"Venture Global Plaquemines LNG, LLC","Mercuria Energy America, LLC",NAESB Base Contract + TC (Contract #1),,2024-08-08,3,years,,14600000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",One of two TCs with Mercuria filed this day. Base contract previously executed.
2023-10-12,"LNG Americas, Inc.","ExxonMobil Oil Corporation (assigned from XTO Energy, Inc.)",Gas Supply Agreement (NAESB + TC + SP),2023-07-27,2023-09-20,36,months,Nov 2023 - Oct 2026; SP: 2023-07-25; Assignment 2023-08-24 eff 2023-10-01,14600000,"40,000 MMBtu/Day",Firm,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, 3066-B, 3282-C, 3357-B, 3957",
